נושא ראשי,נושא משני,תת נושא,תיאור
ניהול רכב,רכבים מיוחדים,רכבים מזהמים,"זיהוי וטיפול ברכבים שהוגדרו כמזהמים, כולל סנכרון והפקת מכתבי התראה לרשויות מקומיות."
ניהול רכב,הקצאת מספרי רישוי,ניהול והקצאת לוחיות זיהוי,"הקצאת פנקסי מספרים ליבואני הרכב, מעקב אחר מספרים פנויים/תפוסים וקישור למספרי שלדה."
ניהול רכב,ניהול ציי רכב,דוחות ותהליכי אצווה,"הפקת דוחות ותהליכי אצווה לניהול ומעקב אחר כלי רכב בבעלות חברות ליסינג והשכרה, תוך התאמת תעריפים ייעודיים."
ניהול רכב,קדם רכב ומכס,ניהול מחזור חיים,"ניהול כל מחזור החיים של רכב בטרם עלייתו לכביש, כולל קובץ יבואנים, מסד נתונים ""קדם רכב"" ומעקב רשימוני מכס."
ניהול רכב,קדם רכב ומכס,קליטת רשימוני מכס,"סנכרון ושמירת נתונים המגיעים ממערכת המכס, כולל תאריכי כניסה לארץ, תאריכי ייצור ומספרי שלדה ומנוע."
ניהול רכב,קדם רכב ומכס,יבוא אישי,"טיפול ספציפי בבקשות ורישום של רכבים שיובאו לארץ ביבוא אישי, תוך הצלבה עם טבלאות הדגמים."
ניהול רכב,קדם רכב ומכס,רוכשים זרים/תושבי חוץ,"תיעוד רוכשי רכב שאינם אזרחי ישראל, כולל מספר דרכון, ארץ מוצא, סוג אשרה וכתובת בחו""ל."
ניהול רכב,קדם רכב ומכס,מערכת מכס ורשימוני יבוא,"ממשק מול רשויות המכס בישראל, הכולל עיון, חיפוש ובקרה על רשימונים והגבלות מכס המוטלות על הרכבים."
ניהול רכב,קדם רכב ומכס,תהליכי יבוא והקצאת מספרי רישוי,"ניהול רכבים מיובאים הממתינים לעלייה לכביש, כולל סנכרון מסמכי מכס והקצאת לוחיות זיהוי ליבואנים."
פיננסים,גביית חובות וחיובים,טיפול בחובות,"המערכת מטפלת בחובות כלי רכב כמו אגרות וקנסות, קולטת מנות חובות ומעדכנת סטטוסים."
פיננסים,גביית חובות וחיובים,ניהול תשלומים וחיובים,"מעקב וניהול תשלומים ואגרות, כולל רישום סוג התשלום, סכום, פרטי בנק וטיפול בביטולי תשלומים."
פיננסים,גביית חובות וחיובים,קביעת תעריפים,"שיוך דגמי רכבים לקבוצות אגרה וחישוב גובה האגרה לפי מחירונים, שנת ייצור וותק הרכב."
פיננסים,החזרים כספיים,ניהול החזרי אגרות,"שליפה, עדכון סטטוס, מחיקת החזרים אפסיים, טיפול בהחזרים לסוחרים וממשק למערכת מרכבה."
פיננסים,החזרים כספיים,יצירת החזרים אוטומטיים,"הפקת החזרים במקרים של רכב גנוב או אובדן גמור, וכן החזרים מתביעות ייצוגיות."
פיננסים,החזרים כספיים,טיפול בכפל תשלום,"ניהול החזרים בגין כפל תשלום אגרות, כולל מנגנוני בקרה למניעת הדפסת רישיונות כפולים."
פיננסים,קיזוזים,מערכת קיזוזים לסוחרים ומוכרים,"ניהול חישובים פיננסיים מורכבים סביב העברות בעלות, בדיקת זכאויות וקיזוז חובות מול החזרים."
פיננסים,סליקת אשראי,ממשק סליקת כרטיסי אשראי,"טיפול מקוון בתשלומים באמצעות כרטיסי אשראי דרך ממשק לחברת שב""א, כולל שמירת נתוני עסקה."
פיננסים,סליקת אשראי,קליטת תשלומים,"קליטת תשלומים מקיוסקים, סניפי הדואר ומערכת ""אוצר אונליין"", ובדיקת סטטוס עסקאות מול שב""א."
פיננסים,הטבות לאוכלוסיות מיוחדות,הנחות והחזרים לחיילי מילואים,"ניהול זכאויות למשרתי מילואים, חישוב הנחות והחזרים באגרות ובקרת כפל הטבות."
ממשקים חיצוניים,ערוצי מידע ודיווח,תנועות ושאילתות מידע,"תיעוד וניהול תנועות ושאילתות מידע המבוצעות על ידי גורמים חיצוניים (לפי מספר רכב, ת""ז, מזהה לקוח)."
ממשקים חיצוניים,ערוצי מידע ודיווח,דוחות לגורמים מוסדיים,"הפקת דוחות שוטפים לרשויות מקומיות, המשרד להגנת הסביבה, רשות הטבע והגנים ושמאים."
ממשקים חיצוניים,ערוצי מידע ודיווח,ממשקים לגורמי אכיפה וביטחון,הפקת קבצים יומיים למשטרת ישראל ולמשרד הביטחון בפורמטים מוסכמים.
ממשקים חיצוניים,ערוצי מידע ודיווח,ממשקים לחברות ביטוח,"קליטה ושידור נתונים מול חברות הביטוח, כולל אימות נתונים טכניים ועדכוני סטטוס."
ממשקים חיצוניים,ייצוא נתונים מרוכז,ייצוא נתונים ל-BI,שליפת נתונים גולמיים ממערכת הרכב ויצירת קבצים עבור פלטפורמות ה-BI של המשרד.
ממשקים חיצוניים,ייצוא נתונים מרוכז,"הפקת נתונים ללמ""ס",איסוף מידע מורחב על הרכבים והכנת קובץ עבור הלשכה המרכזית לסטטיסטיקה.
ממשקים חיצוניים,ייצוא נתונים מרוכז,רשומות מקוצרות לגורמים מוסדיים,"ייצוא נתוני רכב בפורמטים מובנים (""מקוצר רגיל"", ""מוגדל"", ""גדול"") לגופים כמו המוסד לביטוח לאומי."
ממשקים חיצוניים,ייצוא נתונים מרוכז,ייצוא נתונים לאופיסופט,"בניית רשומת ""מקוצר גדול"" עם נתונים הנדסיים מורחבים להעברה למערכת אופיסופט."
ממשקים חיצוניים,סנכרון נתונים דמוגרפיים,מרשם התושבים,"סנכרון שוטף מול מרשם התושבים, כולל השוואה ועדכון שמות, כתובות, תאריכי לידה וסטטוס פטירה."
ממשקים חיצוניים,סנכרון נתונים דמוגרפיים,רשם החברות,"קליטה ועדכון נתוני תאגידים מול מאגר רשם החברות, כולל שמות, כתובות וסטטוס פעילות."
ממשקים חיצוניים,עמדות שירות עצמי (רישיונומט),ניהול ובקרת פעולות,"הפקת דוחות וסטטיסטיקות על פעולות שמבוצעות בעמדות השירות הממוחשבות, כגון חידוש או כפל רישיון."
ממשקים חיצוניים,מידע משפטי,הפקת אישורים משפטיים,"הפקת פלטים רשמיים, דוחות פעולות ואישורי כתובת המיועדים לעורכי דין ובתי משפט."
ממשקים חיצוניים,דיוור והתראות,מערך הפקת מכתבים,"ניהול יצירת מכתבים והודעות לבעלי כלי רכב, כולל הודעות על קריאות שירות, הסדרי פשרה והתראות לפני פקיעת רישיון."
ניהול משפטי ופיננסי,"הגבלות, עיקולים ושעבודים",הטלה והסרה של הגבלות,"ניהול הטלה או הסרה של הגבלות על כלי רכב (מכס, בטיחותיות, תקינה, משפטיות)."
ניהול משפטי ופיננסי,"הגבלות, עיקולים ושעבודים",רישום עיקולים ושעבודים,"ניהול רישום עיקולים ושעבודים לטובת גורמים מממנים, והפקת דוחות ייעודיים."
ניהול משפטי ופיננסי,"הגבלות, עיקולים ושעבודים",ניהול מחזור חיי הגבלות,"הוספה, ביטול והוספה מחדש של הגבלות תקינה, כולל המרת תוכן לעברית ותיקון שגיאות."
ניהול משפטי ופיננסי,"הגבלות, עיקולים ושעבודים",מערך ניהול עיקולים וכונסי נכסים,"רישום ומעקב אחר עיקולים המוטלים על רכבים, כולל פרטי גוף מעקל, סיווג תיק ומינוי כונסי נכסים."
ניהול משפטי ופיננסי,צווים משפטיים,קליטה וניהול צווים,"קליטה וטיפול בצווים מינהליים או משפטיים המוטלים על כלי רכב, כולל גוף מוציא, מספר תיק וסוג צו."
ניהול משפטי ופיננסי,הוצאה לפועל וסטטיסטיקות,מעקב וספירת בקשות,"איסוף סטטיסטיקות על בקשות ושאילתות ממערכת ההוצאה לפועל, כגון צווי מכירה והפקדות/הסרות עיקולים."
ניהול משפטי ופיננסי,שעבודים וחישובי אגרות,שעבודים,"רישום ומעקב אחר גופים משעבדים, כולל מספר מזהה של הבנק, קוד הסניף, פרטי ההלוואה ותאריך רישום השעבוד."
ניהול משפטי ופיננסי,שעבודים וחישובי אגרות,אגרות והטבות,"קביעת קבוצת האגרה של הרכב כדי לתמחר את הרישיון השנתי, וחישוב הנחות ייעודיות באגרת הרישוי."
ניהול משפטי ופיננסי,שעבודים ועיקולים,ממשקי שעבודים מול בנקים וחברות אשראי/ליסינג,ייצור קבצי ממשק להעברת נתונים אל חברות מממנות ספציפיות המחזיקות שעבודים על כלי רכב.
מבחני רישוי ומוסכים,ניהול מכוני רישוי ומוסכים,תיעוד פיזי וכוח אדם,"שמירת נתונים הנדסיים ולוגיסטיים על מכוני רישוי (שטחים, מסלולים, ציוד) ורישום מנהלים מקצועיים ובוחנים."
מבחני רישוי ומוסכים,ניהול מכוני רישוי ומוסכים,בקרה על מוסכים,"תחזוקת מאגר המוסכים המורשים, כולל פרטי מנהלים מקצועיים, הסמכות וקביעת ימי סגירה."
מבחני רישוי ומוסכים,מעקב מבחני רישוי,ניהול ליקויים ותוצאות טסט,"הזנה, צפייה ומעקב אחר ליקויים שנמצאו ברכבים במהלך הטסט, עדכוני סטטוס ופסילת רכבים."
מבחני רישוי ומוסכים,מעקב מבחני רישוי,איתור מבחן רישוי אחרון,"שיוך מבחן הרישוי האחרון לתחנת הרישוי שבה בוצע, כולל איתור ותיקון נתונים שגויים."
מבחני רישוי ומוסכים,מעקב מבחני רישוי,מעקב טסטים,"מעקב מדויק אחר סטטוס הטסט של הרכב, חיפוש לפי מספר רכב, תחנה או מספר מדבקה."
מבחני רישוי ומוסכים,"ניהול טפסים, מכלולים וליקויים",קטלוג חלקי רכב וליקויים,ניהול ותחזוקת קטלוג חלקי הרכב והליקויים האפשריים שניתן למצוא בהם במהלך טסט או טיפול במוסך.
מבחני רישוי ומוסכים,מעקב מבחני רישוי,תיעוד מבחנים,"תיעוד סוג המבחן, תחנת הרישוי שבה בוצע, מספר המדבקה שהונפקה לרכב, נתוני קילומטראז' ונוכחות חגורות בטיחות."
תשתית מערכת,לוגים ומעקב היסטורי,קובץ התנועות המצטבר,"מאגר עצום הקולט ורושם כל פעולה שנעשית במערכת, כולל טיפול בתנועות שגויות או חסרות."
תשתית מערכת,לוגים ומעקב היסטורי,לוג רכב ולוג טכני,"שמירת היסטוריה מדויקת של כל שינוי שבוצע בפרטי הרכב, וכן מעקב אחר שינויים טכניים ספציפיים."
תשתית מערכת,לוגים ומעקב היסטורי,מעקב היסטורי אחר שינויים טכניים,"עיון בהיסטוריית שינויים טכניים שבוצעו ברכב, כגון החלפות מנוע, שינויי צבע והחלפת מידות צמיגים."
תשתית מערכת,ניהול טבלאות קידוד,תחזוקת מידע בסיסי,"ניהול שוטף של ""טבלאות קידוד"" פנימיות השומרות מידע בסיסי המזין את המערכת, כגון יבואנים, פקידים ומחוזות."
תשתית מערכת,ניהול טפסים,"תחזוקה, שליפה והדפסה",ניהול מלאי הטפסים הממשלתיים הרשמיים הקיימים במערכות משרד התחבורה.
תשתית מערכת,הדפסת רישיונות וטפסים,מערך הדפסות מרכזי,איסוף נתונים מפוזרים על הרכב ומיזוגם לפורמט אחד להדפסה רשמית של רישיון הרכב או טפסים אחרים.
תשתית מערכת,הדפסת רישיונות וטפסים,הכנת קבצי PDF לאזור האישי,"הכנת קבצי רישיון בפורמט PDF המיועדים להצגה והורדה ב""אזור האישי"" הממשלתי של בעל הרכב."
תשתית מערכת,פונקציות ליבה,ניהול תפריטים,ניהול התפריטים הראשיים של המערכת המאפשרים לפקידים לגשת למערכות המשנה.
תשתית מערכת,פונקציות ליבה,תשתיות אתחול,"ניהול מסכי הפתיחה, תפריטי הניווט והפעלת תת-המערכות השונות בכניסה למערכת."
תשתית מערכת,ניהול משתמשים והרשאות,ניהול פרטי משתמש,"ניהול פרטי המשתמש, מספר הפקיד, המחוז ושיוכו לקבוצות הרשאה הקובעות גישה למערכות."
תשתית מערכת,העברת קבצים,ניהול שינוע נתונים,"ניהול תהליכי הורדת קבצים המופקים מהמערכת לגורמים חיצוניים, והעלאת קבצים ותנועות אצווה פנימה."
תשתית מערכת,ניהול תוקף מנהלתי,תיעוד הארכות תוקף,"תיעוד תאריך התוקף המקורי מול המעודכן, ניהול סטטוסים של צווים זמניים ושמירת היסטוריה של פקידים שביצעו הארכות."
תשתית מערכת,תשתיות היסטוריות,"התמודדות עם ""באג 2000""",תוכניות ישנות שנועדו להרחיב תאריכים מפורמט 6 ספרות ל-8 ספרות או לדחוס אותם חזרה לשם תאימות לאחור.
תשתית מערכת,עדכון נתונים,שגרות עדכון נתונים מסיביות,"אוסף עצום של תוכניות המבצעות עדכוני שגרה ורישום בכל קבצי המערכת המרכזיים, כולל סטטוס בעלויות, חובות והגבלות."
ניהול רכב,רכבים מיוחדים,"כלי רכב חקלאיים וצמ""ה","ניהול רישוי ובקרה ייעודיים לטרקטורים, נגררים וציוד מכני הנדסי, כולל פילוח סטטיסטי לפי סוג הנעה (בנזין/דיזל)."
ניהול רכב,רכבים מיוחדים,"רכבים כבדים, משאיות ואוטובוסים","זיהוי וסטטיסטיקה של אוטובוסים חדשים לפי חודש רישום ומשאיות/רכבים כבדים שמשקלם הכולל עולה על 4,000 ק""ג."
ניהול רכב,רכבים מיוחדים,בקרת אביזרים והתקנות לא תקניות,איתור כלי רכב עם אביזר לא תקני שהותקן בהם (כגון וו גרירה בלתי תקין) והפקת מכתבי התראה לבעליהם.
ניהול רכב,ניהול דגמי רכב,ציוד בטיחות ייעודי,רישום ומעקב אחר התקנת מערכות כיבוי אש אוטומטיות ייעודיות (כגון Fogmaker) ברכבים כבדים וציבוריים.
ניהול רכב,ניהול ציי רכב,צי מנהל הרכב הממשלתי,"ניהול ורישוי ייעודי לרכבי מנהל הרכב הממשלתי (גורם 897) בלוג נפרד, להבדיל מציי חברות ליסינג והשכרה פרטיות."
ניהול רכב,בעלויות ורישום,העברות בעלות מנהלתיות ללא אימות,ביצוע העברת בעלות במקרים מנהלתיים חריגים ללא בדיקה או אימות מול תעודת הזהות של הבעלים הנוכחי.
ניהול רכב,בעלויות ורישום,איתור בעלויות חריגות,"ניטור ואיתור כלי רכב בעלי היסטוריית בעלויות יוצאת דופן, כגון רכבים שעברו מעל 14 בעלים קודמים."
ניהול רכב,קדם רכב ומכס,"איתור רכבים ""חסרים""",בקרה יומית לאיתור כלי רכב שלא נקלטו כראוי במערכת בטווח של 14 יום ממועד היבוא.
פיננסים,גביית חובות וחיובים,שערוך חובות וקנסות פתוחים,"תהליך אצווה נפרד לחישוב ריבית/שערוך על חובות וקנסות פתוחים, בנפרד מהגבייה השוטפת."
פיננסים,הטבות לאוכלוסיות מיוחדות,"תעריפים לנכי צה""ל","עדכון תעריפי אגרה מותאמים לנכי צה""ל ותיעוד בלוג ייעודי, כאוכלוסייה נפרדת מנכים אזרחיים ומחיילי מילואים."
ממשקים חיצוניים,ייצוא נתונים מרוכז,שליפות מבודדות ליבואנים גדולים,"הפקת קובצי שליפה מבודדים ומוגנים מפני שינוי, ייעודיים ליבואני רכב גדולים ספציפיים."
ממשקים חיצוניים,ערוצי מידע ודיווח,בירור פרטי רישיון נהיגה,"משיכת נתונים משלימים על מספר רישיון הנהיגה של בעל הרכב ותוקפו, לטובת גורמי אכיפה ובירורים מנהלתיים."
ממשקים חיצוניים,עמדות שירות עצמי (רישיונומט),אימות הרשאות שותפים באזור האישי,"בירור זיקת המשתמש לרכב ובדיקת שותפויות, למניעת ביצוע פעולות באזור האישי כשקיימים שותפים לא מאושרים."
תשתית מערכת,לוגים ומעקב היסטורי,מדדי ביצוע ובקרה תקציבית לפי גורם,"מדידה ורישום של כמות הפעולות והעדכונים המבוצעים לפי קודי גורם (יבואנים, מנהל הרכב) לצורך בקרה תקציבית."
מבחני רישוי ומוסכים,מעקב מבחני רישוי,בדיקת קנייה כאינדיקציה נפרדת,"סימון נפרד מתיעוד הטסט הרגיל לרכב שעבר ""בדיקת קנייה"" במכון או במוסך."
ניהול רכב,רכבים מיוחדים,מובילים כישות רגולטורית,"ניהול חברות הובלה כישות מורשית: כתובות סניפים, מיופי כוח, הרשאת חומ""ס לנהג, וקליטת סיום קורסי ריענון והסמכות ממכללות."
ניהול רכב,רכבים מיוחדים,"מכוני בדיקה לצמ""ה","תחנות בדיקה נפרדות מבדיקת רכב רגיל, עם הרשאות פיקוח וביקורת הנדסיות ייעודיות לציוד מכני הנדסי כבד."
ממשקים חיצוניים,דיוור והתראות,קליטת דוחות שמאים,קליטה ועיבוד ורישום של דוחות אובדן מוחלט ונזקי תאונות המוזנים לרכב על ידי שמאים מורשים.
ניהול משפטי ופיננסי,הוצאה לפועל וסטטיסטיקות,קציני בטיחות בתעבורה,ניהול הרשאות והסמכה של קציני בטיחות בתעבורה האחראים על פיקוח ציי רכב.
ניהול רכב,ניהול ציי רכב,רכב אשכול,"ניהול ייעודי לצי רכבי סיור ותיירות מורשים, נפרד מציי חברות ליסינג והשכרה."
ניהול משפטי ופיננסי,הגבלות עיקולים ושעבודים,"ממשק מג""ק דו-כיווני","ייצוא חייבים למרכז לגביית קנסות (מג""ק) וקליטת עדכוני סגירת חוב לביטול הגבלות (כגון קודי A7/A8)."
פיננסים,גביית חובות וחיובים,תשלום בבנקים מסחריים בשובר,"קליטת קובץ תשלומים מרוכז מסניפי בנק מסחרי לאחר תשלום שובר בקופה (""תשלום באצבע"")."
ממשקים חיצוניים,עמדות שירות עצמי (רישיונומט),הרשאת יבואן לביצוע טסט עצמי,סנכרון תוצאות מבחן רישוי המבוצע בבדיקה עצמית אצל יבואנים מורשים לכך.
ניהול רכב,סוחרי רכב,בתי מסחר ומגרשי רכב,"מגרשים וסוכנויות למכירת רכב כישות נפרדת מסוחרי רכב, מול טבלאות התקינה לצורך הקצאת טווחי מספרי רישוי."
ניהול רכב,ניהול דגמי רכב,אישור דגם והוראת רישום,"תהליך האישור הרגולטורי של דגם רכב חדש לפני שיווק, נפרד מתחזוקת טבלת המפרטים הטכניים השוטפת."
מבחני רישוי ומוסכים,מעקב מבחני רישוי,רישום לראשונה במכון רישוי,"הפעולה שבה מכון הרישוי רושם רכב חדש לראשונה במערכת, נפרד מטסט שנתי ומהקצאת מספרי רישוי ליבואן."
פיננסים,גביית חובות וחיובים,חידוש רישיונות רכב חודשי,תהליך אצווה חודשי המפיק שוברי חידוש עבור כלי רכב שרישיונם עומד לפוג בחודש העוקב.
פיננסים,החזרים כספיים,"החזר לרכב שעבר לרש""פ","קטגוריית החזר אגרה נפרדת לרכב שעבר לרשות הפלסטינית, לצד החזרים בגין גניבה ואובדן גמור."
ניהול רכב,רכבים מיוחדים,חלקי חילוף,"מעקב ובקרה רגולטורית על חלקי חילוף, יבואני חלפים ומעקב קמפיינים טכניים, מעבר לקטלוג הליקויים לצורך טסט."
מבחני רישוי ומוסכים,ניהול מכוני רישוי ומוסכים,קליטת הסמכות וקורסי ריענון למובילים,"קליטת קבצי דיווח ממכללות מוסמכות על סיום קורסי ריענון והסמכות מקצועיות (מנהל, נהג, קצין בטיחות, אחראי חומ""ס)."
ניהול רכב,רכבים מיוחדים,"אישור נהג חומ""ס","בדיקה ורישום של אישורי הובלת חומרים מסוכנים ברמת הנהג, להבדיל מרישוי חומ""ס ברמת הרכב."
ממשקים חיצוניים,מידע משפטי,תעודת עובד ציבור,"שחזור סטטוס הרכב (בעלות, הגבלות, סטטוס גניבה/ביטול) בתאריך היסטורי נתון, לטובת הפקת אישור רשמי למשטרה ולבתי משפט."
ניהול רכב,בעלויות ורישום,העברת בעלות עצמית של ציי רכב,"ערוץ נפרד להעברת בעלות מרוכזת המבוצעת על ידי חברות ציי רכב מתוך מספר הח""פ שלהן החוצה ללקוחות."
מבחני רישוי ומוסכים,מעקב מבחני רישוי,ניידות בטיחות,"ניידות משרד התחבורה המבצעות בשטח בדיקות תקינות והורדות מהכביש, כמערכת תפעולית עצמאית."
ניהול רכב,ניהול ענף המוניות,"פטור מתמרור נת""צ",מערך הרשאות המאפשר לכלי רכב ציבוריים מורשים ולמוניות לקבל אישורי נסיעה מבוקרים בנתיבי תחבורה ציבורית.
ממשקים חיצוניים,עמדות שירות עצמי (רישיונומט),אזור אישי כערוץ ביצוע פעולות,"ביצוע פעולות רישוי יזומות (כגון העברת בעלות) באזור האישי, נפרד מהפקת קבצי PDF ומעמדות הקיוסק הפיזיות."
